Designator,Mid X,Mid Y,Layer,Rotation
AE1,144.352,-113,top,0
C1,120.05,-108.6,top,-90
C2,123,-109.4,top,180
C3,133.89,-114.9,top,0
C4,122.2,-117.6,top,-90
C5,123.8,-119.3,top,180
C6,133.7,-111.8,top,0
C7,133.7,-110.7,top,0
C8,121,-113.1,top,180
C9,122.7,-106.8,top,180
C10,129.5,-120.25,top,-90
C13,107.0125,-108.17,top,0
C14,110.8425,-110.83,top,-90
C15,124.34,-120.8,top,180
C16,126.62,-120.8,top,0
C17,128.1,-108.7,top,0
C18,123,-108.2,top,180
C19,133.3,-113.4,top,-90
C20,136.3,-113.4,top,-90
C21,129.5,-122.61,top,-90
C22,119,-123.9,top,180
C23,121.1,-122.6,top,-90
C24,119,-125.3,top,180
C25,130,-126.52,top,90
C26,133.08,-122.94,top,-90
C27,109.21,-124.8,top,180
D1,101.98,-106.36,top,0
D2,110.2225,-108.16,top,0
D3,136.18,-117.62,top,180
FLT1,138.6,-113,top,0
J1,99.7,-115,top,-90
L1,126,-108.5,top,90
L2,127.5,-106.1,top,-90
L3,134.8,-113,top,0
L4,140.265,-113.878,top,-90
L5,142.066,-113,top,0
R1,102,-121,top,0
R2,102,-109,top,0
R3,116.8,-118.8,top,0
R4,116.8,-117.7,top,0
R5,119.2,-118.5,top,-90
R6,103.1,-107.8,top,180
R7,133.6,-117.6,top,0
R8,112.9425,-108.13,top,180
R9,131.2,-126.51,top,90
R10,135.27,-122.94,top,-90
R11,128.2,-122.61,top,90
R12,134.19,-122.95,top,-90
R13,109.2,-127.2,top,180
R14,109.2,-126,top,180
SW1,125.4,-127,top,0
SW2,136,-126.95,top,0
U1,127.45,-114.1625,top,90
U2,107.5625,-110.95,top,0
U3,119,-121.3,top,-90
U4,107.6,-115,top,0
X1,133.6,-107.55,top,90
X2,125.52,-122.3,top,180
